Student_ID,Reason_For_Performance,Access_To_Resources,Study_Hours_Per_Week,Health_Issues,Teacher_Support,Parental_Support,Stress_Level,Peer_Influence,Additional_Tutoring,Use_Of_Study_Groups,Exam_Anxiety,Jamb_Scores,Num_Credit_Passes_WAEC,verdict
ccf3a17156dc4907ba6c34ab6712303a,Difficulty understanding topics,Yes,4,No,4,4,Yes,No,No,No,No,186,5,Fail
db20a56edc814fe78eda8bbb71710434,Confidence issues,No,0,No,3,4,No,Yes,Yes,Yes,No,302,7,Pass
03c72ba8d60547708a63f881ffd0f9d5,Lack of resources,No,34,No,2,1,Yes,No,No,No,Yes,319,3,Fail
bc594585944548c08ef8c2d6f7fd5646,Confidence issues,Yes,28,No,4,2,Yes,Yes,Yes,No,Yes,169,8,Fail
504867babf7b439b8f9aea4b8acd4e10,Lack of resources,No,27,No,5,2,Yes,Yes,Yes,No,No,335,9,Pass
7a0ecfea958c49ba8cd620c20ea2622b,Personal issues,No,39,No,5,5,Yes,Yes,Yes,No,Yes,152,8,Fail
dca02eecacda4acc9165e21098543881,Health challenges,No,1,No,2,1,Yes,No,Yes,No,Yes,386,8,Pass
14fcdd549e8f49658a2c827e98326856,Lack of preparation,No,13,No,3,1,Yes,Yes,Yes,No,No,395,6,Pass
90b2b633956b4c0ca8499b926b5252e3,Lack of resources,No,19,No,3,3,No,No,Yes,No,No,188,3,Fail
ef8c485bc07a40f2add4253b50f0fd0a,Difficulty understanding topics,Yes,38,Yes,3,1,Yes,Yes,No,No,Yes,129,9,Fail
3e896c64e1174ac3919c4ea3e1805081,Health challenges,No,24,Yes,5,2,No,Yes,No,No,No,123,4,Fail
e0ccedc5f05d476e9a84a51aa9d3d7c7,Confidence issues,No,38,Yes,1,2,No,No,No,No,Yes,309,5,Pass
35ebd32d9ad640ab88212ddb45b89cd9,Confidence issues,Yes,11,Yes,3,4,No,Yes,Yes,Yes,No,269,9,Pass
afffcfd2341e440b97c700aab7b56ea7,Personal issues,Yes,19,No,2,5,Yes,No,Yes,No,No,357,4,Fail
e87d1c78e7c441c780497b717d106c60,Personal issues,Yes,33,No,1,3,No,No,Yes,No,Yes,224,3,Fail
0a368ce7dc574131b8e1daa7cbceabde,Difficulty understanding topics,Yes,28,No,4,2,No,Yes,Yes,Yes,Yes,267,3,Fail
ae9bec3635c7436c9b9962c6e61fecc0,Lack of preparation,No,21,No,3,2,Yes,No,Yes,No,Yes,127,9,Fail
3c9ad14cee0c4eb5acfedb992790cebd,Difficulty understanding topics,No,30,No,5,1,Yes,Yes,Yes,No,Yes,323,6,Pass
ccc56569f9e84369a999b735dd56cc94,Difficulty understanding topics,No,33,Yes,3,1,No,Yes,Yes,No,Yes,319,5,Pass
391184973a4342ba9f0f06cbcb9bc326,Personal issues,No,26,Yes,4,3,No,No,No,No,Yes,171,4,Fail
11c58ef0dd464c09875287aa5408f9ac,Personal issues,Yes,10,Yes,3,5,No,No,Yes,No,No,388,7,Pass
59e4b67147744c5885f8bc16f7860b50,Lack of preparation,No,21,No,1,2,Yes,No,No,Yes,Yes,329,3,Fail
e08596db1d8749668710d430f071d879,Difficulty understanding topics,Yes,40,Yes,5,5,Yes,No,Yes,No,Yes,384,8,Pass
94a1875d2db64edb82deffccf86c2ca2,Confidence issues,Yes,4,No,5,4,Yes,Yes,No,Yes,No,344,2,Fail
6fb78271504d481f89535b63ba81edd9,Difficulty understanding topics,No,29,No,2,1,No,Yes,Yes,Yes,Yes,235,5,Pass
1d9af65982ec4f2dbbf6e16f9b3080d5,Lack of preparation,Yes,34,No,3,5,Yes,Yes,No,No,Yes,122,2,Fail
30a900ad939b462da645f129629c2ae3,Lack of preparation,No,28,No,4,4,No,No,No,No,Yes,190,2,Fail
f0b5156bb82c4074afd5dea589d7fd6c,Confidence issues,Yes,14,Yes,2,5,Yes,Yes,No,Yes,No,105,6,Fail
81d2c7de4ce14b90a6697833b841d0a0,Health challenges,Yes,16,Yes,3,5,Yes,No,Yes,No,No,208,7,Pass
d56f03508c454ce2a7f48ad54d0b0d1a,Personal issues,No,21,No,4,2,No,No,Yes,Yes,Yes,276,6,Pass
9b4e2c24947941e689277d9b6e0d2648,Health challenges,No,36,No,2,5,Yes,No,Yes,Yes,No,221,4,Fail
7118e36477094749927eecfaa79ac9aa,Health challenges,Yes,35,Yes,3,5,Yes,Yes,No,Yes,No,250,9,Pass
f5b78cc7e6b349448b323e357922bac2,Health challenges,Yes,33,No,5,4,Yes,No,Yes,No,Yes,252,5,Pass
a8aa71582b704525bc67f831cbc84759,Confidence issues,Yes,1,Yes,1,3,No,Yes,No,No,No,331,3,Fail
a9f2533683f449a988a639d015b52908,Difficulty understanding topics,No,23,Yes,1,4,No,Yes,Yes,Yes,Yes,386,4,Fail
17e8392a55ce45db9e87e04ca2086977,Lack of resources,No,13,No,1,1,No,No,Yes,No,No,280,7,Pass
3c20592fc04a46c4b3b63fe1d1843324,Confidence issues,No,1,Yes,4,4,No,Yes,Yes,No,Yes,278,5,Pass
7496276412a44ef084bbb7a9d98868dd,Difficulty understanding topics,No,31,Yes,4,2,Yes,No,No,Yes,No,169,5,Fail
624c69b6b24445a7b7e5848131c681ec,Health challenges,Yes,32,Yes,5,4,No,Yes,No,Yes,Yes,209,4,Fail
e4855aa1016b4287b00805cca7f36ae9,Personal issues,Yes,24,No,3,1,Yes,Yes,Yes,Yes,No,159,9,Fail
8eb225790cdb4ca4b6ecbdd68498e113,Difficulty understanding topics,No,19,Yes,1,1,No,Yes,No,Yes,No,340,9,Pass
8f15ba58fce6450487f8424daae65fc1,Confidence issues,Yes,9,Yes,4,4,Yes,No,Yes,No,Yes,264,4,Fail
d0a444329cd64852b14c7df4e4347d51,Lack of resources,No,39,No,5,4,Yes,No,Yes,No,Yes,320,5,Pass
6d3ee1dc81394443a45b712eb8225688,Difficulty understanding topics,No,3,Yes,5,3,Yes,Yes,Yes,No,No,359,7,Pass
dc8aee30be6043f7a8be9288e5af6e39,Personal issues,Yes,15,No,3,1,Yes,No,Yes,No,Yes,250,9,Pass
7c0e8cd8857347938715b2b9c40c5d91,Difficulty understanding topics,No,10,Yes,1,4,No,No,Yes,No,Yes,151,6,Fail
3c07c57449254af1b6aae05b13d5f2f7,Confidence issues,No,22,Yes,4,2,Yes,Yes,No,Yes,No,176,5,Fail
e49d681d51d84c6495fa1ab8458f1f19,Confidence issues,Yes,20,No,5,5,Yes,No,No,No,No,293,5,Pass
6a34c85410714d51b6c59dacb4d7e28e,Lack of preparation,Yes,9,Yes,4,1,Yes,No,Yes,No,Yes,115,8,Fail
d5385b0e34f3493c8ff0a55c6a702e2f,Personal issues,Yes,15,Yes,1,3,No,No,Yes,Yes,Yes,114,6,Fail
05000bc6b20d4b6eb2311f1795863a76,Difficulty understanding topics,Yes,23,Yes,1,2,No,No,Yes,No,No,303,2,Fail
cc530e36addc4e13ab3b4d37560c95ee,Lack of preparation,No,9,No,4,2,No,Yes,No,Yes,No,250,2,Fail
d72b61082a404f12b963f37f67814c1f,Health challenges,Yes,3,No,2,2,Yes,Yes,Yes,No,Yes,148,4,Fail
fb10987f20ac4703ab67146a77a6e17c,Lack of resources,No,27,Yes,4,3,Yes,No,No,Yes,Yes,144,4,Fail
2e85cb2176314e9d9de9f86322bd3388,Lack of resources,Yes,26,No,5,4,No,No,Yes,No,No,388,6,Pass
