Student_ID,Extracurricular_Activity,Weekly_Hours
ccf3a17156dc4907ba6c34ab6712303a,Sports,10
310c0c003fa741049bf90e27dc96925e,Drama,3
23e2fcb472d8467d894a05e430b187ef,Art,4
766ecb15474e4c19aef912766c006f61,Literature club,5
134c6c92ec5b427c9fde4fbf3ff350bf,Drama,3
db20a56edc814fe78eda8bbb71710434,Sports,10
a6f2f7b80cf34b5899108be58ce21ea3,Literature club,2
03c72ba8d60547708a63f881ffd0f9d5,Literature club,4
c0e9ab30ed2642e997e011b7f8102383,Literature club,3
680ac07a2a934d62bc835dc0d9441fa5,Drama,7
dd59ba7136b84481bb3a4e3e7c52fa17,Jet club,2
2a25a8880f024ad0a7067ef466aa9385,Press club,2
63f2ae24fc3d4348808d4127610461e3,Jet club,8
c8fe3ccdc8b849c6ad3049cf43e458fc,Sports,2
b253d2186c4a47ea890617f2747b6dba,Press club,6
c88a618efed4457dbb026576f512c4c3,Art,3
7c967f79b7e94acaa97065e18e46d534,Jet club,8
37bb3eec4bf54b52b09d258c27a0c3d7,Press club,8
bc594585944548c08ef8c2d6f7fd5646,Sports,1
504867babf7b439b8f9aea4b8acd4e10,Drama,10
7a0ecfea958c49ba8cd620c20ea2622b,Art,4
87f7e1fbda4b49caab5cf46780bacd64,Sports,10
82010c62f5f54b228e8fa8e0284d82e5,Drama,9
118a9d292f92499699f195d014822f53,Press club,2
dca02eecacda4acc9165e21098543881,Art,6
f10c718b1eb0438aa75dd5af3c365296,Drama,9
94340a033f07481491d63f78e3e9de99,Jet club,10
14fcdd549e8f49658a2c827e98326856,Press club,5
90b2b633956b4c0ca8499b926b5252e3,Debate Club,9
42c18a62ef4848d590fd9d3f85d51695,Debate Club,6
506e5a9ab758488dab73295b344a54b8,Debate Club,7
21813d25655248a683ff50113d1a85dd,Press club,9
750cab754ccc4bc2a53f8a28abf3e3fc,Art,3
ef8c485bc07a40f2add4253b50f0fd0a,Press club,9
9f044aed7552432782627f7312922f83,Press club,6
19985f15ff004d4d902059e4ff9ab5c2,Literature club,7
8181a8cc369147eb89a2688b12c136e0,Debate Club,3
5958a499eeea463ea1e8ac6843e42caf,Literature club,3
3e896c64e1174ac3919c4ea3e1805081,Debate Club,5
702cdd20286248b888f4ef125e9953d2,Art,5
4d71c366b41b41438b10550cd5704f32,Press club,10
ce9e1a11fcbb4e59bbddcf7c9c96e9ec,Art,9
aaf91531020041f08768a84fa76afde6,Art,8
ee87905e4ca445ea8dfa6a56d12dbc9a,Sports,3
e0ccedc5f05d476e9a84a51aa9d3d7c7,Jet club,1
e3c436571d8c4bac83b409ef2260e70f,Drama,7
27cb6f2a8da04097be0f051b1b66b5a9,Drama,7
35ebd32d9ad640ab88212ddb45b89cd9,Jet club,1
afffcfd2341e440b97c700aab7b56ea7,Literature club,4
81627cf1439442e69a587e8aa25d6b29,Literature club,5
e87d1c78e7c441c780497b717d106c60,Debate Club,7
a260772317a04f498d01280fd89a40c0,Jet club,3
0b49452d46d443f39450281c6c6f7633,Press club,1
217d65a0c56841cd9563f61600e85ece,Art,10
295d6fbf430f401dbad409e2a319dcb4,Literature club,8
b4a69f3c8d3a4d99b11c21c9bdc14f1f,Jet club,2
1ca3c448027946a68f9797b06d7ce3c9,Drama,8
b0e6a969e21342b0b1eedba313432e61,Jet club,6
093923de8bab4e3ba6286bfbe767dcea,Drama,1
8d7248e2951f48d09e84f058d5a804eb,Sports,6
0ab54bde20a04502ae06809725e97977,Literature club,5
eededb07e62346899d59cd2a4eea04e7,Drama,5
0a368ce7dc574131b8e1daa7cbceabde,Art,9
ae9bec3635c7436c9b9962c6e61fecc0,Jet club,10
5a8aaeca1a504ec3aabc25fa3fe12e47,Press club,5
dfed2c43e25646dc8f5486b7c7b5b2bc,Literature club,4
bfddc3d99ee34c2ab94d62046808593f,Drama,9
3c9ad14cee0c4eb5acfedb992790cebd,Art,9
ccc56569f9e84369a999b735dd56cc94,Jet club,5
698c206fe1a44e10ad534dd0cf8ebc5a,Jet club,10
ecab3301bc8f4d29adea94930658663a,Sports,5
696608aaee494329884a7b28550a1b46,Literature club,7
bc2cbb0ddd334cc7ab7f089acd5f4822,Jet club,1
28c13091444d410bbf87e362cf8d446a,Jet club,9
61ee411a1bac47a7b386f7a4c991603f,Drama,4
787f2425dbcc447789e9db0adf465290,Press club,10
eb1fa9f2d10b41d0b317347038f16a81,Sports,10
d20eac174e204d1a998336e375d66ed4,Sports,3
391184973a4342ba9f0f06cbcb9bc326,Drama,1
6601ddd031704437a8f7ef5a060edf5b,Art,9
11c58ef0dd464c09875287aa5408f9ac,Art,7
59e4b67147744c5885f8bc16f7860b50,Sports,3
adf4e62d6651429e8268690ba43825b5,Press club,2
54c63cd889454f2797fa2d8dfb2ca025,Drama,9
e08596db1d8749668710d430f071d879,Art,6
94a1875d2db64edb82deffccf86c2ca2,Drama,5
09cb394243f54a85bbc9f87af668a617,Literature club,1
587ef3446f3f420c98b8e4cc1bc044fc,Sports,9
6fb78271504d481f89535b63ba81edd9,Literature club,3
1d9af65982ec4f2dbbf6e16f9b3080d5,Debate Club,4
30a900ad939b462da645f129629c2ae3,Jet club,1
6fa17735b57243d08b5cea6a41357e8c,Debate Club,6
ce777f00ecf24e7685197ff4006ed6e3,Debate Club,1
f0b5156bb82c4074afd5dea589d7fd6c,Sports,6
3270e4faabae4f43bcae8081bdf070aa,Press club,9
f2e9702d11e94daaae6981a35d3d9e56,Press club,1
9f871ce754874d4fabb7a385aa0b7b14,Drama,8
1fe771d6d9174793a9d3c2e6505cc686,Art,8
81d2c7de4ce14b90a6697833b841d0a0,Sports,8
5380b904688c4015aab97e494f2d4796,Literature club,1
8dedf9fb4bb04f20b27c40266703b636,Jet club,2
aa38d0a16ba24efeb11c6eb62095eef6,Drama,6
bf85bf0ead64456ca10faa3ff0bbac67,Art,10
91b0e1d99d9242afac8d0e44e71e43a6,Debate Club,2
d56f03508c454ce2a7f48ad54d0b0d1a,Jet club,1
35ce884149734d6c8dcabfb7001a9a8b,Literature club,1
9b4e2c24947941e689277d9b6e0d2648,Sports,10
7118e36477094749927eecfaa79ac9aa,Drama,1
82dc4c8e36b5429aacf5e81e71316269,Jet club,6
f5b78cc7e6b349448b323e357922bac2,Drama,2
a8aa71582b704525bc67f831cbc84759,Sports,1
a9f2533683f449a988a639d015b52908,Debate Club,3
17e8392a55ce45db9e87e04ca2086977,Jet club,8
3c20592fc04a46c4b3b63fe1d1843324,Debate Club,1
ce7ae7f639824cff8f77a665ac3c5640,Debate Club,7
0bd4a99006404e0fa5b8fd4b32fa2de8,Debate Club,5
9c7c737779a24903bbe33b243eae0032,Drama,5
7496276412a44ef084bbb7a9d98868dd,Jet club,7
935f2b0aa1384ddca2d9de5d6a18ce4c,Jet club,4
624c69b6b24445a7b7e5848131c681ec,Press club,5
25c73c443e7543b4a64fa6637e8f8095,Literature club,1
e4855aa1016b4287b00805cca7f36ae9,Sports,9
e2add909c5214f2d9c45d539c03f3538,Art,4
3805f9076cd6419387468f591b494e15,Drama,5
b227462cf53d43308dda24ba2d06e8cf,Drama,5
8eb225790cdb4ca4b6ecbdd68498e113,Sports,3
1f115b76d92c4227aadf50853fcb7546,Debate Club,6
76f2dbfecd29436fa22282e174daaebf,Drama,1
8f15ba58fce6450487f8424daae65fc1,Debate Club,6
c1581092f3354ba3913a7052986f9025,Debate Club,8
d0a444329cd64852b14c7df4e4347d51,Drama,2
6d3ee1dc81394443a45b712eb8225688,Press club,9
722764e68c41461ba827a1b9d4a02e53,Sports,8
dc8aee30be6043f7a8be9288e5af6e39,Drama,2
c074718e425a409fb337c59979844388,Debate Club,4
46fde062a33d47af9701410d3f4b1a70,Sports,9
7c0e8cd8857347938715b2b9c40c5d91,Sports,4
709b7d97464c44afbd3f3799a07295e9,Literature club,6
3c07c57449254af1b6aae05b13d5f2f7,Art,2
e49d681d51d84c6495fa1ab8458f1f19,Jet club,1
269cd696236c4b8794a0bccb8a476a87,Drama,9
271e3ee2b1a641f1a20e99d33b33f3d8,Jet club,1
6a34c85410714d51b6c59dacb4d7e28e,Jet club,2
7746d0ba8ae8405b94b4a48268586eba,Sports,4
d5385b0e34f3493c8ff0a55c6a702e2f,Debate Club,4
c51155ffe7a34e81a3b4c08b6b8e869f,Sports,5
05000bc6b20d4b6eb2311f1795863a76,Press club,8
9360715fc3fe4183a172b725db52ca58,Literature club,4
f1578470018247c4ba1b58066160a6b4,Press club,7
63d62a39c0e34efd8c71e0fe5a0cdd7c,Jet club,7
d5f25073f41442b1a4429ebbda7b9095,Press club,2
bc10fa52bf5d4fdf89c8d2ab6b44fa8d,Literature club,7
e5d6f6e69a6e42f58cc429038bcf53a1,Literature club,2
45df16b6382c443fbcfc9b793875394c,Art,9
638c254c076e4bbabc5308bf6f92f25e,Press club,2
cc530e36addc4e13ab3b4d37560c95ee,Literature club,10
d72b61082a404f12b963f37f67814c1f,Press club,8
fb10987f20ac4703ab67146a77a6e17c,Press club,10
e82c7d7b06e745f988bc539c9f4c3b79,Drama,8
a9ba5a27907b4e36978648f864de82e6,Debate Club,10
6db99102a48b4dbe957d94a106f028ff,Press club,3
2e85cb2176314e9d9de9f86322bd3388,Drama,2
53cd6268610c437382999aa40cdf742b,Sports,4
56666f9f53ac4ab9b4672cd9362f5e5c,Debate Club,1
473bd358610e4a64a1301617c2dff335,Sports,9
6bebac31d4f84d72b3821cfdc083b73a,Literature club,10
7866076514f74e8d95bcb8d04094dded,Drama,7
0d557b618a174dfebfc00dc804f64d86,Press club,6
39669fa759974043b3b1025bfff9f585,Jet club,5
f510ab53c7fe439f9190f938a66fd7f7,Drama,3
07f194f9c1154d6d8a4e5b70a6d964a3,Press club,4
d6d7b3b833094d35bf4df561f319c125,Drama,3
3d1148022702478b9f0fda8d05379ff6,Drama,7
1d48a071ab6147b1b93b4c3220500494,Drama,6
770c779837cc463bb2a0345990604f62,Art,8
5e6fea07c4534f1d81992fdfb31022f0,Press club,10
f6b751f79b7442459b1bc8952af43ab7,Literature club,3
c71d5e601d5246abb7e6427cbf780e3f,Drama,1
4fa03f26f6f740cca9ec8e49d1bdb8c0,Debate Club,5
edcb8cb606924c639424aed51bac5c15,Jet club,7
e87466d7ad6641bd93676a024fdc6e1b,Debate Club,8
f1043785658b4523a0141de9f54ad0a2,Art,9
9793b9b413744146b2c5bd89b70b3420,Sports,6
3e2b6091a092452a94a057a7b0cc1b3b,Literature club,5
4d3485c5c5c14eb4b27b3d901a16342c,Literature club,1
ce3714af99b44350af2b99b4d9acd158,Jet club,3
90e0f4a0fbdd49338bd58bf61efd76e9,Art,9
8861fe1858e248888a8381bec85aca46,Jet club,9
11a726095edd4bbfa95976636daa2e68,Debate Club,7
033d2bce575a4d2ca5c5650c8186a576,Literature club,10
7d7ddbedd284476cab88f83dd97dc9cd,Press club,7
5cb85aedf5f64c97aefb63b11b049863,Press club,2
75b17a55d4264982a43e4288a2b5b498,Jet club,3
2d174fc96f7c45eaa72a6d8eb5122df8,Press club,10
a6846099f7294951859131d2bbda0242,Jet club,10
eb6c1016cee644d09dac6e8345241ea6,Drama,10
7701f7bb7bc64e1f864ee6e389c5b31a,Sports,3
97ac6aa8bb2448a3936357b66f81cf4f,Art,9
3ed8c56cda094fa092828d8044b591f7,Sports,5
4767d76c162f4a24af43613cd4aac9a3,Debate Club,3
c01f36bf3e6d458bb367c28de1b294de,Literature club,5
ab0e664e9c3e42d591e1aa9676f72255,Sports,1
7e8adee707584201961e16d16105716b,Jet club,1
7cd0129d2e8d4e87933420e6d9d80b8d,Literature club,3
4223623bcc3e4dde9ad5cf06364d7c87,Press club,3
989d9d4ae15c46668797b2c957207246,Sports,4
8e48522346b94991a14eb70db380c73a,Press club,3
30e912f2f2b44abf8441aefd0299436a,Debate Club,5
680bac63b8564035bdc9829015eabb27,Drama,6
3d85de89c21744298e2007247d137018,Literature club,4
b63b4dc3a5594463b9e13ceab0cbc61f,Drama,4
046a0df5cafd4613b2bb912d7da67785,Jet club,8
6786d50638ba4abc8b5305e517d2582e,Debate Club,6
a9f948b24e6344bbbe493f43b118f68d,Literature club,4
8db06746792749739e781fd794e0d3ba,Press club,6
ff233d5f6ced415d98007c0287ea7ff5,Press club,5
5a10412954ae4d1b8ce6424dbef59fe6,Drama,1
4e7ed827455a4762b428a656b3ee4d3b,Sports,4
b8a6171f1ee34dc4bb048a8b405bfdc9,Debate Club,1
be2d740a1e9b43bc90c7c006314d3441,Drama,1
b0ae8f08c31e4bbcb36cb62b892e6161,Literature club,9
bd1531c837644bdab108d4482f65fafa,Debate Club,8
96ef2ad6b97e470386c8adfe7bf47042,Literature club,3
98c7472a864e4a13829cfc0cfa02eaec,Literature club,9
d52721e719bc443ebb02bebb48729a4d,Debate Club,3
5c62b3a23a3c463e8bd6cee631b1b099,Press club,9
b540b30e039f4a258d6168bd2defe193,Sports,3
0ba6eab94639447ba067bdac88bd13d1,Debate Club,8
4ac9778d8da84ee48df56ac6f96b648a,Debate Club,9
a34b6cf620534a42b1afdb65b289f224,Art,1
1a432f0a7daa49f080b6fce2de53790a,Art,6
48ca765192f54f7b8323d342df6a8f93,Drama,5
5738811d70c2403fba8d03aa782a65e0,Art,8
40a26c600d274659b72ada9b2f32751e,Debate Club,5
1d34d08e7a4c45d49c99e04cf0e98b3b,Debate Club,4
7de31a516694434390ba58e3d2762bdc,Drama,7
afbb411aa1234a8c93b7a88612f70c97,Jet club,10
cfa701cd2631400ba6d794d30db95301,Jet club,10
15ce6a664dc84a1eb2f9e5fa90164161,Literature club,6
8edddfcd1e524770bf897142fe716b14,Press club,5
989bc4da9b37422baa8a616fc3b290d0,Literature club,3
c693da1139c641ca9e50aa42ca6dfda1,Drama,9
e893be3d73544a6fa160745985c7504b,Literature club,3
96a9954fdc3341f98c1f55ab715629ee,Jet club,2
9191b3634e2d4645adc7cac7fd72b050,Sports,3
f5c9b0479c1045728f6b40d09efba58b,Debate Club,2
c342bd2bf295456e99675f06bd767e35,Sports,10
43bfd93136054f54a021c0ca3531968d,Debate Club,3
3d67cde9283444c094c8b3b4a911d192,Press club,10
2812859a1337439e8d4f5d272c7f0b79,Press club,3
b07aa066735445eaa8949b8d00af5b3a,Jet club,2
085b15fb4a8f4810b84c2f29980402a2,Jet club,10
48603b32b4fb4eb989c13de73b4206c5,Jet club,6
1238d630743b45a29c0f2fcfb3f6fe0d,Literature club,5
43b9da13ec854f37bbc1a987aff8754d,Jet club,4
96fc734da0034d288a8f3653c9af18f8,Press club,10
32a447b2ef04457d8dccc33aa9434aa0,Press club,3
398d1ca68b6840b59d61fac36cd5e859,Literature club,7
44007d5ae88d4719a6242b40a5cb63a2,Literature club,3
0f44704f12474a4ea46998e8d39e198b,Press club,9
9854ce4e4ebf45c38ae9b4a72a79ea68,Drama,3
ebd3461691b74d8e93016989bfbbb17f,Drama,1
77fc97031fd54423b06c5c5649e2623d,Art,5
670acc5cb3214f218dd8eb85b04d3376,Drama,1
8a3c3b5e801e41da85b1ed25f1533ae8,Art,7
9918ee4614974658b010f7197e695d0d,Debate Club,7
bc0a6a5d6e994e3ea3b137fc0a3450fc,Art,9
069f14f140184c6e9a8cfa3c5283aac7,Jet club,4
ac9ed156f63f4e41ba9aca5e176132ed,Press club,2
964db03f93404fad9c4ad56bd6016237,Jet club,2
c3c75611ffe34a49854f92fff366bad4,Drama,4
9384ec2b44fe4cae9248a9a7ac1aa554,Art,3
2cd94cbbc19a458c835b1c8c0a4c9f7f,Sports,10
7135f221a6c9437f84dad06a7872bdeb,Art,10
ff37d19c2e76428b873544f9ea83bf00,Press club,5
d0725b5ca2814044af96288295d82980,Jet club,2
785299f4175b498db81401027de1bdfe,Sports,3
5230dfbd555342fea889803e5913f9d3,Debate Club,7
292bd156db9445709ac70ec0ab8ddeb4,Debate Club,1
7ed70ed7b194490ba961929e546e035a,Art,9
668409e3f1f8443ea99f131849c8a43f,Jet club,9
0964fbbf8cd341b082b01cfdd045dd1c,Jet club,5
409d360250844242968b1625746f7891,Press club,7
c5c5b37af85e46a19dad09b252c21221,Drama,4
d32e6dcd83bc44789d6ac7b86778043b,Sports,6
de8ede0ba85c4e4a804b6fabfcf56188,Art,2
0de051a669ca47d2b64414fd8ae769ed,Art,4
9f64eeed5c9d427d84b871bb300568d2,Sports,2
71299889a01a4992bf9d3e64c1a6423b,Jet club,6
445dcc38341c44948d366dfcc28ebd70,Sports,4
49bc473fed7b4656a18a15368c99a894,Art,3
7c16128db2c04394a17f29e170286046,Debate Club,7
a14923c2f920464c8763fcd01f15c7b6,Art,4
b5b453ca3d42493c8c9fd3349bdf0377,Jet club,1
03802b708d03491e8f8d5238288b78b5,Literature club,4
3985fb6217dc4effa87213f98d605936,Literature club,4
1d0bc9bde9b545cf97665cdafe049059,Jet club,6
a5d04d531e1242e3b27292b6762172ed,Sports,4
eec259dc7f95497ca76aa6ced50755d9,Debate Club,3
b495db4e82454fb48ab7706eb77350ca,Sports,4
7b85179ad5b047e0aa5d932b45ff2c83,Jet club,4
74eff5453e654603b8e3654bfaf14ff0,Art,6
30cbd7556232417aa50741818d1fb540,Art,9
bf0d073d821c43369970cf60ebff8d15,Art,1
11df12d7dd304e89a2f235f2e11b868d,Drama,9
dabac50dca3d485985ce099c46b82659,Art,9
c9a7d91fef2a4713970210496a39aaa6,Drama,8
00a81de9d20f47d084656d6b81fb18b3,Debate Club,7
d664d2644c6e47ffb9de7a3a486822b9,Art,8
a8f1e091ffb8402d9475dbc996418ced,Literature club,4
7250ee18260a49629d81b7f57d5911c6,Art,4
551ac8ea585a4afabbfdcc1289e06ab3,Debate Club,5
6090d6978b1e4b9d834b9fbb8d4a75b8,Jet club,3
de9e37575260401eaecf67d2749176f4,Jet club,5
3d225c30b28f41debb140bc3304b8590,Sports,5
db23aa8c3bca4f85a20a60ac9261549d,Press club,8
517400f80b2c482aa9288e92c68a152f,Art,6
e9d68f23b4894070b914f8a8bea4ff31,Drama,8
fd08b32c62d64e93a1985d54cfb87e6f,Literature club,1
a6eab79ed21c42f88ada4f80a9e782d4,Jet club,4
f6febc0e7ecd4bafa6f05fcffb16e5db,Press club,6
f72169bb80964718a051acef097a1e10,Debate Club,2
19b17e80dea44e1794fd9ad39716108e,Jet club,9
1986b4b270b74868985480f0dfcaf0b7,Debate Club,2
03edd1f874f94d17a912b4bf86a4bae4,Drama,7
def5768968f44bcea4e75e8eb8f21423,Press club,8
1327f1bc2784478fb84f16b3a79fbfaf,Sports,3
43d88870f81d4aa188120a8e78308930,Press club,5
65c17795b15546bc9f8ded9756abf2f1,Drama,7
541cdfcdda0d4a5f948f8b74a65bb1f2,Jet club,8
889b78d5dbfd497eaca2b148da330aa1,Art,10
a075e92751104492b4427e0b61484bb3,Sports,8
7cea2045c268483ea32f2e63b7fddd71,Debate Club,1
9e11d2cd09304ef68a80068ddf547e50,Drama,10
af34cf65a19344b2bc19e71d118405ad,Jet club,7
3a3c8a71ff574e2b8991ab9bebc2026f,Literature club,10
fa7457616f1841089723199dbf2c14a0,Press club,4
b4323070a23d4c2f82a796891933918c,Sports,8
2a96e1e271944ae299bad7aedf615a5c,Art,7
0769165fe7464cb98ca9cf07b1aa0f6a,Press club,7
0e5dd462cbd04ef2930a37df0bc61066,Jet club,5
6e417d475ff545ea9bc440f14b1a269b,Sports,6
697c392387fa441abe83b91f25440fe0,Jet club,9
2e183554cae24e66ae8a781390e0a95b,Jet club,4
9c07a75114374509acd1586a2b840c67,Drama,1
aee1e86b9ea546aaa1ee6c5bdeef580f,Debate Club,1
9549c931e9af499dbf671eec3da70577,Literature club,3
a34db7c5760d4bbbbb70b3a124a35cf2,Drama,6
aab612c9415d474ab5a669814104a8b5,Drama,2
771ad655cdfc4ee0a61ede900267deb3,Sports,9
8beddb12ad77482f89a23a89e6b5a92c,Drama,5
f1faf665711543f392e89d1028711733,Art,3
4c955f6a966b4964bcd6bdca5876fd09,Literature club,6
b0b862ef6c9f42b9b6478986a3917c99,Debate Club,9
4d57d880d865469ab4f3310340066ff2,Jet club,2
da743152627b41a1bfd6f23232ffe294,Drama,5
61a117293cb943509b4da0fe7bb38605,Press club,10
4bbe4aff93264ffd9be4bf5192698698,Press club,3
059dd55d4b944e30b303f438fe2110d0,Art,4
6553867da8814fd3947d577bfa5a91ca,Jet club,5
dd750e9890e0495f8212b554464458b4,Jet club,2
f93e08d5bea24dfe873f6e1baf908e3c,Press club,3
bec39a379b3d44bda91e314e0c8e29e3,Debate Club,5
e726be23e77648869534ee1d7f2984f5,Debate Club,3
3ae909fecc8248da8696f5e64944051b,Press club,4
3810ae665a3144cc8d4b69a99b689c88,Debate Club,7
402913ec9ef2493eb0ac7d7ba2f963a3,Debate Club,7
c478f6f1b88e4318816d83edad81f8bd,Literature club,6
2303f6c6d69d42f1ae4c84ffa8c01f05,Sports,5
a0a11839e745470498dfbc3ca0d4de3d,Drama,9
c9e260744f1649a08a17991ea5769411,Sports,9
5d678bb1945e42e4888a93ec70d9c9f8,Debate Club,1
e8dd5e5a17124b16a1a4344fbb7bee03,Literature club,10
6a5e6920bf5a47e693a3dd5a4b8c5bdc,Drama,6
c958e75e21d54971b36749b52cf6bf75,Sports,9
5da8d6d2f8b34a8ba05fb8bc8a16a06c,Drama,1
45c45a3ee9da484a80759f1f87e5f0fe,Debate Club,4
e9ff1cae41c84a8caa1f955ad499da99,Debate Club,9
f7a67b947b5a411ab1b64afed31edf1a,Drama,10
ded255d0bf1e43668b8e63d4ce7607ad,Debate Club,5
77e490c71d7b43138de22f1c56b60afc,Literature club,2
c1101266240846dc9346d1a9f6802cdb,Art,9
ad238d36dc324c97b9c1e262f76c8ede,Drama,8
65bcc272fadd4ea3aca5e2fdb966442a,Debate Club,5
8eac0a33cdf944a79882b5c1f79efd70,Press club,9
6502d6a2ca6a4224971e16cc5da36f1b,Art,4
1fa382e8895c4d9983b38eb403902c5d,Drama,6
bfbf397bac3e4b0d9e5ba13d746cdb77,Jet club,5
618ae30595a54afa831d029fac1e86d8,Jet club,3
5f18e583f0b6483fa377f6f1d289f0ab,Drama,10
