Student_ID,Mathematics,English Language,Civic Education,Economics,CRS/Islam,Government,Commerce,Literature,History,Accounting,Physics,Chemistry,Biology,Geography,Computer Science
ccf3a17156dc4907ba6c34ab6712303a,55,62,88,25,7,71.0,24.0,7.0,37.0,77.0,,,,,
310c0c003fa741049bf90e27dc96925e,20,60,50,54,15,,,,,,2.0,14.0,83.0,12.0,81.0
23e2fcb472d8467d894a05e430b187ef,89,2,33,71,46,93.0,62.0,8.0,28.0,88.0,,,,,
766ecb15474e4c19aef912766c006f61,94,77,62,45,72,,,,,,19.0,12.0,1.0,91.0,47.0
134c6c92ec5b427c9fde4fbf3ff350bf,75,29,95,73,12,4.0,44.0,46.0,12.0,8.0,,,,,
db20a56edc814fe78eda8bbb71710434,62,20,73,81,11,90.0,87.0,82.0,98.0,18.0,,,,,
a6f2f7b80cf34b5899108be58ce21ea3,61,100,63,4,60,42.0,44.0,23.0,75.0,66.0,,,,,
03c72ba8d60547708a63f881ffd0f9d5,3,2,38,27,65,,,,,,3.0,35.0,44.0,79.0,41.0
c0e9ab30ed2642e997e011b7f8102383,87,8,68,45,67,12.0,95.0,100.0,97.0,93.0,,,,,
680ac07a2a934d62bc835dc0d9441fa5,46,45,3,58,64,90.0,27.0,31.0,79.0,33.0,,,,,
dd59ba7136b84481bb3a4e3e7c52fa17,15,13,85,24,95,,,,,,100.0,18.0,97.0,42.0,92.0
2a25a8880f024ad0a7067ef466aa9385,19,21,97,60,25,50.0,66.0,28.0,55.0,24.0,,,,,
63f2ae24fc3d4348808d4127610461e3,42,32,86,98,0,,,,,,8.0,22.0,100.0,59.0,5.0
c8fe3ccdc8b849c6ad3049cf43e458fc,47,23,33,12,6,,,,,,25.0,94.0,77.0,92.0,10.0
b253d2186c4a47ea890617f2747b6dba,11,82,62,82,44,3.0,79.0,26.0,91.0,29.0,,,,,
c88a618efed4457dbb026576f512c4c3,87,81,61,86,74,58.0,54.0,91.0,18.0,53.0,,,,,
7c967f79b7e94acaa97065e18e46d534,89,42,45,58,94,,,,,,98.0,73.0,68.0,89.0,51.0
37bb3eec4bf54b52b09d258c27a0c3d7,31,21,32,30,22,14.0,27.0,67.0,56.0,75.0,,,,,
bc594585944548c08ef8c2d6f7fd5646,47,77,38,28,24,98.0,0.0,29.0,32.0,6.0,,,,,
504867babf7b439b8f9aea4b8acd4e10,9,37,12,78,32,,,,,,64.0,65.0,69.0,56.0,80.0
7a0ecfea958c49ba8cd620c20ea2622b,23,43,90,14,95,,,,,,27.0,37.0,25.0,3.0,27.0
87f7e1fbda4b49caab5cf46780bacd64,22,3,90,27,89,66.0,34.0,47.0,35.0,24.0,,,,,
